Trial,Alternatives,Votes,Cycles
1,420,20,"[8, 26, 83, 155, 148]"
2,425,20,"[1, 6, 33, 86, 148, 151]"
3,198,20,"[2, 9, 40, 84, 63]"
4,156,20,"[2, 8, 32, 59, 55]"
5,297,20,"[4, 18, 65, 103, 107]"
6,160,20,"[2, 6, 40, 52, 60]"
7,262,20,"[1, 4, 12, 55, 97, 93]"
8,192,20,"[1, 2, 16, 33, 72, 68]"
9,201,20,"[1, 5, 8, 37, 81, 69]"
10,343,20,"[3, 22, 63, 120, 135]"
11,139,20,"[1, 3, 7, 26, 53, 49]"
12,314,20,"[1, 3, 15, 61, 127, 107]"
13,488,20,"[1, 2, 5, 29, 100, 209, 142]"
14,107,20,"[1, 1, 12, 24, 39, 30]"
15,492,20,"[2, 6, 30, 91, 194, 169]"
16,268,20,"[6, 16, 51, 102, 93]"
17,221,20,"[3, 12, 45, 77, 84]"
18,160,20,"[1, 2, 7, 32, 56, 62]"
19,374,20,"[1, 2, 22, 68, 134, 147]"
20,367,20,"[1, 6, 22, 79, 122, 137]"
